Release 14.7 - CPLD Optimizer/Partitioner P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.
WARNING:Cpld - Unable to retrieve the path to the iSE Project Repository. Will
   use the default filename of 'trapplyse.ise'.
CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/ce\/Q\/FDCP prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/ce\/Q\/X_ONE prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/ce\/$1I55 prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "GND"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/x0_last\/Q\/FDCP prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/x0_last\/Q\/X_ONE prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/x0_last\/$1I55 prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "GND"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/clr\/Q\/FDCP prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/clr\/Q\/X_ONE prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/clr\/$1I55 prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "GND"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/x1_last\/Q\/FDCP prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse/x1_last\/Q\/X_ONE prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "FDCP"

CS: block property: block_name=/trapplyse/EXPANDED_FlattenFull/trapplyse prop_name=TYPE prop_terse=XDM_PROPERTY_STRING "TYPE" "trapplyse"

